key,nome,set,numero,lingua
Pokemon|Fasg|045/167|TWM|ITA|70,Fasg,TWM,045/167,ITA
Pokemon|Basg|027/091|PAF|ITA|71,Basg,PAF,027/091,ITA
Pokemon|Fase|140/167|UNK|ITA|72,Fase,UNK,140/167,ITA
Pokemon|Fasg|014/191|UNK|ITA|73,Fasg,UNK,014/191,ITA
Pokemon|Fase|042/064|UNK|ITA|74,Fase,UNK,042/064,ITA
Pokemon|Fasg|085/159|UNK|ITA|75,Fasg,UNK,085/159,ITA
Pokemon|Base|017/094|UNK|ITA|76,Base,UNK,017/094,ITA
Pokemon|Gasg|042/064|UNK|ITA|77,Gasg,UNK,042/064,ITA
Pokemon|Fase|012/217|UNK|ITA|78,Fase,UNK,012/217,ITA
Pokemon|Fase|001/001|UNK|ITA|79,Fase,UNK,001/001,ITA
Pokemon|Base|095/132|UNK|ITA|80,Base,UNK,095/132,ITA
Pokemon|Fasg|080/131|PRE|ITA|81,Fasg,PRE,080/131,ITA
Pokemon|Base|025/217|UNK|ITA|82,Base,UNK,025/217,ITA
Pokemon|Fase|030/21|UNK|ITA|83,Fase,UNK,030/21,ITA
Pokemon|Gase|034/094|UNK|ITA|84,Gase,UNK,034/094,ITA
Pokemon|Fase|001/001|UNK|ITA|85,Fase,UNK,001/001,ITA
Pokemon|Base|042/086|UNK|ITA|86,Base,UNK,042/086,ITA
Pokemon|Lastt|001/001|UNK|ITA|87,Lastt,UNK,001/001,ITA
Pokemon|Cfaliv|001/001|UNK|ITA|88,Cfaliv,UNK,001/001,ITA
Pokemon|Syfdx|056/086|UNK|ITA|89,Syfdx,UNK,056/086,ITA
Pokemon|Btitt|001/008|UNK|ITA|90,Btitt,UNK,001/008,ITA
Pokemon|Imitt|004/008|UNK|ITA|91,Imitt,UNK,004/008,ITA
Pokemon|Mitt|730/127|UNK|ITA|92,Mitt,UNK,730/127,ITA
Pokemon|Jlit|001/001|SVP|ITA|93,Jlit,SVP,001/001,ITA
Pokemon|Niaeb|001/001|UNK|ITA|94,Niaeb,UNK,001/001,ITA
Pokemon|Ejoes|001/001|UNK|ITA|95,Ejoes,UNK,001/001,ITA
Pokemon|Jilvty|068/086|UNK|ITA|96,Jilvty,UNK,068/086,ITA
Pokemon|Mazmi|126/132|UNK|ITA|97,Mazmi,UNK,126/132,ITA
Pokemon|Mazni|125/132|UNK|ITA|98,Mazni,UNK,125/132,ITA
Pokemon|Tjvj|010/067|UNK|ITA|99,Tjvj,UNK,010/067,ITA
Pokemon|Zat|067/086|UNK|ITA|100,Zat,UNK,067/086,ITA
Pokemon|Jagnt|106/193|UNK|ITA|101,Jagnt,UNK,106/193,ITA
Pokemon|Xzdj|053/080|UNK|ITA|102,Xzdj,UNK,053/080,ITA
Pokemon|Cfj|050/080|UNK|ITA|103,Cfj,UNK,050/080,ITA
Pokemon|Llino|048/080|UNK|ITA|104,Llino,UNK,048/080,ITA
Pokemon|Xzdj|053/080|UNK|ITA|105,Xzdj,UNK,053/080,ITA
Pokemon|Ivxy|056/080|UNK|ITA|106,Ivxy,UNK,056/080,ITA
Pokemon|Flino|048/080|UNK|ITA|107,Flino,UNK,048/080,ITA
Pokemon|Elrikno|050/080|UNK|ITA|108,Elrikno,UNK,050/080,ITA
Pokemon|Xzdj|053/080|UNK|ITA|109,Xzdj,UNK,053/080,ITA
Pokemon|Emlino|001/001|UNK|ITA|110,Emlino,UNK,001/001,ITA
Pokemon|Lzt|001/001|151|ITA|111,Lzt,151,001/001,ITA
Pokemon|Jagtt|058/086|UNK|ITA|112,Jagtt,UNK,058/086,ITA
Pokemon|Xjdj|060/086|UNK|ITA|113,Xjdj,UNK,060/086,ITA
Pokemon|Ivx|056/080|UNK|ITA|114,Ivx,UNK,056/080,ITA
Pokemon|Egqino|057/086|UNK|ITA|115,Egqino,UNK,057/086,ITA
Pokemon|Elano|057/086|UNK|ITA|116,Elano,UNK,057/086,ITA
Pokemon|Jcvzt|063/086|UNK|ITA|117,Jcvzt,UNK,063/086,ITA
Pokemon|Nut|058/086|UNK|ITA|118,Nut,UNK,058/086,ITA
Pokemon|Stb|058/086|UNK|ITA|119,Stb,UNK,058/086,ITA
Pokemon|Jcvit|063/086|UNK|ITA|120,Jcvit,UNK,063/086,ITA
Pokemon|Qeno|048/080|UNK|ITA|121,Qeno,UNK,048/080,ITA
Pokemon|Jig|058/086|UNK|ITA|122,Jig,UNK,058/086,ITA
Pokemon|Rino|057/086|UNK|ITA|123,Rino,UNK,057/086,ITA
Pokemon|Eeasno|060/086|UNK|ITA|124,Eeasno,UNK,060/086,ITA
Pokemon|Jandt|061/086|UNK|ITA|125,Jandt,UNK,061/086,ITA
Pokemon|Att|071/108|UNK|ITA|126,Att,UNK,071/108,ITA
Pokemon|Ztt|059/086|UNK|ITA|127,Ztt,UNK,059/086,ITA
Pokemon|Jige|064/086|UNK|ITA|128,Jige,UNK,064/086,ITA
Pokemon|Zaub|062/086|UNK|ITA|129,Zaub,UNK,062/086,ITA
Pokemon|Lus|064/086|UNK|ITA|130,Lus,UNK,064/086,ITA
Pokemon|Lazdt|053/086|UNK|ITA|131,Lazdt,UNK,053/086,ITA
Pokemon|Lis|064/086|UNK|ITA|132,Lis,UNK,064/086,ITA
Pokemon|Zagat|055/080|UNK|ITA|133,Zagat,UNK,055/080,ITA
Pokemon|Listt|049/080|UNK|ITA|134,Listt,UNK,049/080,ITA
Pokemon|Elleno|052/080|UNK|ITA|135,Elleno,UNK,052/080,ITA
Pokemon|Jastt|049/080|UNK|ITA|136,Jastt,UNK,049/080,ITA
Pokemon|Dwkdo|104/193|UNK|ITA|137,Dwkdo,UNK,104/193,ITA
Pokemon|Xib|001/001|UNK|ITA|138,Xib,UNK,001/001,ITA
Pokemon|Jlvjt|063/086|UNK|ITA|139,Jlvjt,UNK,063/086,ITA
Pokemon|Xiv|109/193|UNK|ITA|140,Xiv,UNK,109/193,ITA
Pokemon|Jvit|001/001|UNK|ITA|141,Jvit,UNK,001/001,ITA
Pokemon|Jcvzt|001/001|UNK|ITA|142,Jcvzt,UNK,001/001,ITA
Pokemon|Pok|081/088|UNK|ITA|143,Pok,UNK,081/088,ITA
Pokemon|Viola|001/001|UNK|ITA|144,Viola,UNK,001/001,ITA
Pokemon|Aluto|075/088|UNK|ITA|145,Aluto,UNK,075/088,ITA
Pokemon|Pan|001/001|UNK|ITA|146,Pan,UNK,001/001,ITA
Pokemon|Base|001/001|UNK|ITA|147,Base,UNK,001/001,ITA
Pokemon|Fase|058/088|UNK|ITA|148,Fase,UNK,058/088,ITA
Pokemon|Fase|001/001|UNK|ITA|149,Fase,UNK,001/001,ITA
Pokemon|Base|001/001|UNK|ITA|150,Base,UNK,001/001,ITA
Pokemon|Base|001/001|UNK|ITA|151,Base,UNK,001/001,ITA
Pokemon|Faseu|093/132|UNK|ITA|152,Faseu,UNK,093/132,ITA
Pokemon|Base|050/064|UNK|ITA|153,Base,UNK,050/064,ITA
Pokemon|Ultra|091/091|PAF|ITA|154,Ultra,PAF,091/091,ITA
Pokemon|Fase|020/064|UNK|ITA|155,Fase,UNK,020/064,ITA
Pokemon|Base|003/064|UNK|ITA|156,Base,UNK,003/064,ITA
Pokemon|Base|006/06|UNK|ITA|157,Base,UNK,006/06,ITA
Pokemon|Scambio|194/198|UNK|ITA|158,Scambio,UNK,194/198,ITA
Pokemon|Ajuto|001/001|PAF|ITA|159,Ajuto,PAF,001/001,ITA
Pokemon|Basg|062/162|UNK|ITA|160,Basg,UNK,062/162,ITA
Pokemon|Base|040/064|UNK|ITA|161,Base,UNK,040/064,ITA
Pokemon|Base|036/091|PAF|ITA|162,Base,PAF,036/091,ITA
Pokemon|Aluto|090/094|UNK|ITA|163,Aluto,UNK,090/094,ITA
Pokemon|Base|031/091|PAF|ITA|164,Base,PAF,031/091,ITA
Pokemon|Base|032/091|UNK|ITA|165,Base,UNK,032/091,ITA
Pokemon|Base|007/091|PAF|ITA|166,Base,PAF,007/091,ITA
Pokemon|Base|001/001|UNK|ITA|167,Base,UNK,001/001,ITA
Pokemon|Fasg|001/001|UNK|ITA|168,Fasg,UNK,001/001,ITA
Pokemon|Fasg|065/094|UNK|ITA|169,Fasg,UNK,065/094,ITA
Pokemon|Gelato|091/094|UNK|ITA|170,Gelato,UNK,091/094,ITA
Pokemon|Fasg|001/001|UNK|ITA|171,Fasg,UNK,001/001,ITA
Pokemon|Base|014/015|UNK|ITA|172,Base,UNK,014/015,ITA
Pokemon|Fase|012/015|UNK|ITA|173,Fase,UNK,012/015,ITA
Pokemon|Base|001/001|UNK|ITA|174,Base,UNK,001/001,ITA
Pokemon|Basg|079/162|UNK|ITA|175,Basg,UNK,079/162,ITA
Pokemon|Fasg|071/719|UNK|ITA|176,Fasg,UNK,071/719,ITA
Pokemon|Base|122/217|UNK|ITA|177,Base,UNK,122/217,ITA
Pokemon|Fase|036/182|UNK|ITA|178,Fase,UNK,036/182,ITA
Pokemon|Fase|036/182|UNK|ITA|179,Fase,UNK,036/182,ITA
Pokemon|Base|026/094|UNK|ITA|180,Base,UNK,026/094,ITA
Pokemon|Fase|006/217|UNK|ITA|181,Fase,UNK,006/217,ITA
Pokemon|Basg|001/001|UNK|ITA|182,Basg,UNK,001/001,ITA
Pokemon|Fase|005/159|UNK|ITA|183,Fase,UNK,005/159,ITA
Pokemon|Fase|013/217|UNK|ITA|184,Fase,UNK,013/217,ITA
Pokemon|Rea|100/131|UNK|ITA|185,Rea,UNK,100/131,ITA
Pokemon|Fase|022/064|UNK|ITA|186,Fase,UNK,022/064,ITA
Pokemon|Base|001/001|UNK|ITA|187,Base,UNK,001/001,ITA
Pokemon|Fase|012/094|UNK|ITA|188,Fase,UNK,012/094,ITA
Pokemon|Base|011/094|UNK|ITA|189,Base,UNK,011/094,ITA
Pokemon|Fase|001/001|UNK|ITA|190,Fase,UNK,001/001,ITA
Pokemon|Fase|060/086|UNK|ITA|191,Fase,UNK,060/086,ITA
Pokemon|Base|086/131|UNK|ITA|192,Base,UNK,086/131,ITA
Pokemon|Oggetto|159/162|UNK|ITA|193,Oggetto,UNK,159/162,ITA
Pokemon|Decrittazione|145/162|UNK|ITA|194,Decrittazione,UNK,145/162,ITA
Pokemon|Base|136/217|UNK|ITA|195,Base,UNK,136/217,ITA
Pokemon|Base|130/217|UNK|ITA|196,Base,UNK,130/217,ITA
Pokemon|Tromba|001/001|UNK|ITA|197,Tromba,UNK,001/001,ITA
Pokemon|Basg|098/217|UNK|ITA|198,Basg,UNK,098/217,ITA
Pokemon|Base|134/217|UNK|ITA|199,Base,UNK,134/217,ITA
Pokemon|Fasez|132/217|UNK|ITA|200,Fasez,UNK,132/217,ITA
Pokemon|Fase|129/217|UNK|ITA|201,Fase,UNK,129/217,ITA
Pokemon|Base|133/217|UNK|ITA|202,Base,UNK,133/217,ITA
Pokemon|Base|054/088|UNK|ITA|203,Base,UNK,054/088,ITA
Pokemon|Fase|028/088|UNK|ITA|204,Fase,UNK,028/088,ITA
Pokemon|Fase|606/088|UNK|ITA|205,Fase,UNK,606/088,ITA
Pokemon|Base|057/086|UNK|ITA|206,Base,UNK,057/086,ITA
Pokemon|Base|067/094|UNK|ITA|207,Base,UNK,067/094,ITA
Pokemon|Base|051/088|UNK|ITA|208,Base,UNK,051/088,ITA
Pokemon|Base|001/001|MEW|ITA|209,Base,MEW,001/001,ITA
Pokemon|Base|012/193|PAL|ITA|210,Base,PAL,012/193,ITA
Pokemon|Base|086/159|UNK|ITA|211,Base,UNK,086/159,ITA
Pokemon|Fase|001/001|UNK|ITA|212,Fase,UNK,001/001,ITA
Pokemon|Byx|080/086|UNK|ITA|213,Byx,UNK,080/086,ITA
